timestamp,window_type,value
2025-04-27T17:14:51.128321,Session Window,100.0
2025-04-27T17:14:51.129847,Hybrid Window,100.0
2025-04-27T17:14:51.131374,Multi-Granularity Window,100.0
2025-04-27T17:15:01.151792,Session Window,100.0
2025-04-27T17:15:01.154013,Hybrid Window,100.0
2025-04-27T17:15:01.155963,Multi-Granularity Window,100.0
2025-04-27T17:15:11.167795,Session Window,100.0
2025-04-27T17:15:11.171607,Hybrid Window,100.0
2025-04-27T17:15:11.174013,Multi-Granularity Window,100.0
2025-04-27T17:15:21.183157,Session Window,100.0
2025-04-27T17:15:21.185277,Hybrid Window,100.0
2025-04-27T17:15:21.186987,Multi-Granularity Window,100.0
2025-04-27T17:15:31.194813,Session Window,100.0
2025-04-27T17:15:31.196879,Hybrid Window,100.0
2025-04-27T17:15:31.198656,Multi-Granularity Window,100.0
2025-04-27T17:15:41.211421,Session Window,100.0
2025-04-27T17:15:41.214099,Hybrid Window,100.0
2025-04-27T17:15:41.216426,Multi-Granularity Window,100.0
2025-04-27T17:15:51.229062,Session Window,100.0
2025-04-27T17:15:51.232237,Hybrid Window,100.0
2025-04-27T17:15:51.235228,Multi-Granularity Window,100.0
2025-04-27T17:16:01.247643,Session Window,100.0
2025-04-27T17:16:01.250567,Hybrid Window,100.0
2025-04-27T17:16:01.252813,Multi-Granularity Window,100.0
2025-04-27T17:16:11.265641,Session Window,100.0
2025-04-27T17:16:11.268554,Hybrid Window,100.0
2025-04-27T17:16:11.270737,Multi-Granularity Window,100.0
2025-04-27T17:16:21.284022,Session Window,100.0
2025-04-27T17:16:21.286839,Hybrid Window,100.0
2025-04-27T17:16:21.289008,Multi-Granularity Window,100.0
2025-04-27T17:16:31.301255,Session Window,100.0
2025-04-27T17:16:31.304219,Hybrid Window,100.0
2025-04-27T17:16:31.306418,Multi-Granularity Window,100.0
2025-04-27T17:16:41.318963,Session Window,100.0
2025-04-27T17:16:41.322671,Hybrid Window,100.0
2025-04-27T17:16:41.325314,Multi-Granularity Window,100.0
