timestamp,window_type,value
2025-04-27T21:21:40.046871,Tumbling Window,0.13400181997959065
2025-04-27T21:21:40.064580,Sliding Window,0.6685439158321816
2025-04-27T21:21:41.138073,Tumbling Window,0.233759464788701
2025-04-27T21:21:41.178735,Sliding Window,1.1631850601732698
2025-04-27T21:21:51.372618,Tumbling Window,0.10649766673008498
2025-04-27T21:21:51.451172,Sliding Window,0.5299610006540639
2025-04-27T21:22:00.739494,Tumbling Window,0.07102878345437184
2025-04-27T21:22:00.930993,Sliding Window,0.31746830939941606
2025-04-27T21:22:10.706062,Tumbling Window,0.05246077484226636
2025-04-27T21:22:10.831453,Sliding Window,0.23532430617354497
2025-04-27T21:22:21.166107,Sliding Window,0.2058398359128821
2025-04-27T21:22:21.264456,Tumbling Window,0.041082015592266825
2025-04-27T21:22:30.939193,Sliding Window,0.15425068860425994
2025-04-27T21:22:31.082197,Tumbling Window,0.034187284864042565
2025-04-27T21:22:41.284828,Tumbling Window,0.029111615341943387
2025-04-27T21:22:41.549531,Sliding Window,0.1304977974570206
2025-04-27T21:22:50.990497,Tumbling Window,0.02550749027683318
2025-04-27T21:22:51.018978,Sliding Window,0.12749420386453614
2025-04-27T21:23:02.093678,Tumbling Window,0.02234380375330637
2025-04-27T21:23:02.423576,Sliding Window,0.11130988419550218
2025-04-27T21:23:11.151486,Sliding Window,0.101455738610171
2025-04-27T21:23:11.228425,Tumbling Window,0.020274772623533763
2025-04-27T21:23:21.174599,Sliding Window,0.09208844574884106
2025-04-27T21:23:21.400614,Tumbling Window,0.01837955392940087
2025-04-27T21:23:33.381426,Sliding Window,0.07450799803723374
2025-04-27T21:23:33.461256,Tumbling Window,0.01654556606303653
2025-04-27T21:23:41.267916,Tumbling Window,0.015541864583577335
2025-04-27T21:23:41.297738,Sliding Window,0.07769746423157121
2025-04-27T21:23:51.241528,Tumbling Window,0.014424526013701488
2025-04-27T21:23:51.336973,Sliding Window,0.0720700835677622
2025-04-27T21:24:01.282969,Tumbling Window,0.013449880575625031
2025-04-27T21:24:01.328015,Sliding Window,0.07395156438978592
2025-04-27T21:24:11.289063,Sliding Window,0.06301014784351201
2025-04-27T21:24:11.308634,Tumbling Window,0.012600322022442434
2025-04-27T21:24:20.981640,Tumbling Window,0.011877197820541517
2025-04-27T21:24:21.183347,Sliding Window,0.059312150562617204
2025-04-27T21:24:30.707080,Tumbling Window,0.011228094942729302
2025-04-27T21:24:30.938993,Sliding Window,0.056067172790798495
2025-04-27T21:24:41.562730,Tumbling Window,0.010583184243375288
2025-04-27T21:24:41.644492,Sliding Window,0.05289244332348952
2025-04-27T21:24:50.923429,Sliding Window,0.05041942761845059
2025-04-27T21:24:50.986437,Tumbling Window,0.010080502286221513
2025-04-27T21:25:01.019041,Tumbling Window,0.009595235127406027
2025-04-27T21:25:01.054768,Sliding Window,0.04796770174627096
2025-04-27T21:25:10.811109,Sliding Window,0.0458234443742356
2025-04-27T21:25:10.851343,Tumbling Window,0.009162940873467652
2025-04-27T21:25:20.998573,Sliding Window,0.04378035574190305
2025-04-27T21:25:21.250694,Tumbling Window,0.008746285326793599
2025-04-27T21:25:31.082693,Sliding Window,0.04192874225696163
2025-04-27T21:25:31.117552,Tumbling Window,0.008384492605956247
2025-04-27T21:25:41.556311,Tumbling Window,0.008033247904159213
2025-04-27T21:25:41.596924,Sliding Window,0.04015820435085652
2025-04-27T21:25:50.804331,Tumbling Window,0.007745258804580929
2025-04-27T21:25:50.833500,Sliding Window,0.0387217902960895
2025-04-27T21:26:01.283389,Tumbling Window,0.007443258660609304
2025-04-27T21:26:01.298555,Sliding Window,0.03721387540774809
2025-04-27T21:26:10.908333,Tumbling Window,0.0071858432646016695
2025-04-27T21:26:11.115569,Sliding Window,0.035902343442065054
2025-04-27T21:26:21.211029,Tumbling Window,0.006929323219868281
2025-04-27T21:26:21.257611,Sliding Window,0.03464093377504266
2025-04-27T21:26:30.977126,Tumbling Window,0.00670252769379913
2025-04-27T21:26:31.007298,Sliding Window,0.03350915461793152
